date,settle,pre_cur_linear,pre_five_linear,pre_ten_linear,pre_cur_nlinear,pre_five_nl,pre_ten_nlinear
9/13/11,723,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
9/14/11,724.25,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
9/15/11,701,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
9/16/11,692,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
9/19/11,692.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
9/20/11,690.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
9/21/11,685.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
9/22/11,650,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
9/23/11,638.5,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
9/26/11,648,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
9/27/11,652.25,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
9/28/11,630.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
9/29/11,632.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
9/30/11,592.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
10/3/11,592.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
10/4/11,587.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
10/5/11,605.5,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
10/6/11,605.5,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
10/7/11,600,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
10/10/11,605,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
10/11/11,645,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
10/12/11,640.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
10/13/11,638.25,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
10/14/11,640,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
10/17/11,640.5,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
10/18/11,644,333.1296421,332.3234631,330.0646266,5.819540463,5.818389825,5.812333439
10/19/11,638.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
10/20/11,649.5,318.0849813,316.5115682,315.6789028,5.841180722,5.837649855,5.835512833
10/21/11,649.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
10/24/11,651,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
10/25/11,650.75,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
10/26/11,637.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
10/27/11,651.5,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
10/28/11,655,443.7073891,441.9779868,439.4631903,6.045740253,6.0424667,6.038406429
10/31/11,647,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
11/1/11,654.25,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
11/2/11,656,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
11/3/11,663.75,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
11/4/11,666.25,381.1217878,379.4711567,377.7977638,5.944072878,5.940674472,5.937577331
11/7/11,665.25,347.9165627,346.4531887,345.0985736,5.928080176,5.92442648,5.920724625
