"","date","retweet","favorite","score","type","settle"
"408","06/26/12",0,0,1,"Negative",619.5
"409","06/27/12",0,0,2,"Neutral",627.5
"410","06/28/12",1,0,2,"Neutral",626.25
"411","06/29/12",1,0,2,"Neutral",628.5
"412","07/02/12",1,0,1,"Negative",652.25
"413","07/03/12",0,0,2,"Neutral",674
"414","07/05/12",0,0,2,"Neutral",708.75
"415","07/06/12",0,0,1,"Negative",695.25
"416","07/09/12",0,0,1,"Negative",732
"417","07/10/12",0,0,2,"Neutral",718.5
"418","07/11/12",0,0,1,"Negative",704
"419","07/12/12",0,0,1,"Negative",731.25
"420","07/13/12",0,0,1,"Negative",740.5
"421","07/16/12",0,0,2,"Neutral",776.75
"422","07/17/12",1,0,1,"Negative",779.5
"423","07/18/12",1,0,2,"Neutral",795
"424","07/19/12",0,0,1,"Negative",807.75
"425","07/20/12",0,0,1,"Negative",824.5
"426","07/23/12",0,0,1,"Negative",814
"427","07/24/12",0,0,2,"Neutral",790
"428","07/25/12",0,0,2,"Neutral",794.5
"429","07/26/12",0,0,2,"Neutral",781.25
"430","07/27/12",0,0,2,"Neutral",798.5
"431","07/30/12",1,0,2,"Neutral",820
"432","07/31/12",0,0,1,"Negative",806.5
"433","08/01/12",0,0,2,"Neutral",800.5
"434","08/02/12",1,0,2,"Neutral",795.75
"435","08/03/12",1,0,1,"Negative",807.5
"436","08/06/12",1,0,1,"Negative",805
"437","08/07/12",0,0,2,"Neutral",800.5
"438","08/08/12",0,0,2,"Neutral",816.5
"439","08/09/12",0,0,2,"Neutral",823.75
"440","08/10/12",0,0,1,"Negative",809.25
"441","08/13/12",0,0,1,"Negative",792.25
"442","08/14/12",0,0,2,"Neutral",789
"443","08/15/12",0,0,1,"Negative",804
"444","08/16/12",0,0,1,"Negative",807.5
"445","08/17/12",0,0,1,"Negative",807.25
"446","08/20/12",0,0,2,"Neutral",823.75
"447","08/21/12",0,0,2,"Neutral",838.75
"448","08/22/12",0,0,1,"Negative",834.75
"449","08/23/12",0,0,2,"Neutral",814.75
"450","08/24/12",0,0,1,"Negative",808.5
"451","08/27/12",0,0,2,"Neutral",800.75
"452","08/28/12",0,0,2,"Neutral",795.5
"453","08/29/12",0,0,1,"Negative",813.5
"454","08/30/12",0,0,1,"Negative",808.5
"455","08/31/12",0,0,1,"Negative",799.75
"456","09/04/12",1,0,2,"Neutral",805
"457","09/05/12",0,0,1,"Negative",790.75
"458","09/06/12",0,0,2,"Neutral",798.5
"459","09/07/12",0,0,2,"Neutral",799.5
"460","09/10/12",0,0,1,"Negative",783.25
"461","09/11/12",0,0,1,"Negative",777.75
"462","09/12/12",0,0,2,"Neutral",769.5
"463","09/13/12",0,0,1,"Negative",773.75
"464","09/14/12",0,0,2,"Neutral",782
"465","09/17/12",0,0,2,"Neutral",748
"466","09/18/12",0,0,2,"Neutral",740
"467","09/19/12",0,0,2,"Neutral",756.5
"468","09/20/12",0,0,1,"Negative",746
"469","09/21/12",0,0,2,"Positive",748.25
"470","09/24/12",0,0,1,"Negative",744.75
"471","09/25/12",0,0,1,"Negative",743.75
"472","09/26/12",0,0,1,"Negative",724.75
"473","09/27/12",0,0,1,"Negative",716.25
"474","09/28/12",0,0,1,"Negative",756.25
"475","10/01/12",0,0,1,"Negative",756.75
"476","10/02/12",0,0,2,"Neutral",758.25
"477","10/03/12",0,0,2,"Neutral",756.75
"478","10/04/12",0,0,2,"Neutral",757
"479","10/05/12",0,1,1,"Negative",748
"480","10/08/12",0,0,1,"Negative",742
"481","10/09/12",0,0,2,"Neutral",742
"482","10/10/12",1,0,1,"Negative",736.75
"483","10/11/12",1,0,2,"Neutral",773.25
